key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
845,2019-06-05 10:49:37,,2019-06-05 10:46:22,,,,,,,,,2019-06-05 10:41:11,,2019-06-05 10:34:50,
846,,,,,,,,,,,,,,2019-06-05 11:45:40,
847,,,,,,2019-06-05 12:22:39,,,,,2019-06-05 12:18:07,,,2019-06-05 12:13:26,
848,,,,2019-06-05 13:14:34,,,,,,,,,,2019-06-05 13:08:45,
849,,,,2019-06-05 16:19:05,,,,,,,,2019-06-05 16:25:03,,2019-06-05 16:19:05,2019-06-05 16:10:12
850,,,,2019-06-05 17:27:23,,,,,,,,,,2019-06-05 17:13:51,
851,,,,2019-06-05 18:00:41,,,,,,,,2019-06-05 18:12:10,,2019-06-05 18:00:41,2019-06-05 17:53:32
852,,,,2019-06-05 19:14:19,,,,,,,,2019-06-05 19:03:57,,2019-06-05 19:01:07,2019-06-05 18:49:45
853,2019-06-05 20:16:32,,,2019-06-05 20:14:06,,,,,,,,2019-06-05 19:57:29,,2019-06-05 19:48:02,2019-06-05 19:42:45
854,,,2019-06-05 21:01:07,,,2019-06-05 21:06:26,,,,,,2019-06-05 21:06:26,,2019-06-05 21:01:07,2019-06-05 20:56:28
855,,,2019-06-05 22:52:17,,,2019-06-05 23:30:58,,,,,2019-06-05 23:27:56,2019-06-05 22:52:17,,2019-06-05 22:38:01,2019-06-05 22:31:11
856,,,2019-06-05 23:52:24,,,2019-06-06 00:32:17,,,,,,2019-06-06 00:28:02,,2019-06-06 00:08:18,2019-06-06 00:01:44
857,,,2019-06-06 01:27:52,,,2019-06-06 01:21:24,,,,,,2019-06-06 01:16:41,,2019-06-06 01:11:17,2019-06-06 00:52:50
858,,,2019-06-06 01:54:01,2019-06-06 01:42:33,,,,,,,,2019-06-06 01:54:01,,2019-06-06 01:54:01,2019-06-06 01:49:28
859,,,2019-06-06 02:42:24,2019-06-06 02:38:15,,,,,,,,2019-06-06 02:31:59,,2019-06-06 02:28:09,2019-06-06 02:25:05
860,,,2019-06-06 02:52:34,,,2019-06-06 03:09:43,,,,,,2019-06-06 03:20:17,,2019-06-06 03:17:11,2019-06-06 03:09:43
861,,,2019-06-06 04:27:01,,,,,,,,,2019-06-06 04:21:05,,2019-06-06 04:07:57,2019-06-06 03:57:24
862,,,2019-06-06 04:48:27,,,,,,,,,2019-06-06 04:52:50,,2019-06-06 04:48:27,2019-06-06 04:44:35
863,,,2019-06-06 05:41:51,,,,,,,,,2019-06-06 05:33:28,,2019-06-06 05:29:52,2019-06-06 05:17:22
864,,,2019-06-06 06:20:58,,,,,,,,,2019-06-06 06:17:32,,2019-06-06 06:11:12,2019-06-06 06:06:48
865,,,2019-06-06 07:12:15,,,,,,,,,,,,
866,,,2019-06-06 07:38:57,,,,,,,,,,,,
867,,,2019-06-06 08:44:38,,,,,,,,,2019-06-06 08:41:30,,2019-06-06 08:33:20,2019-06-06 08:27:26
868,,,2019-06-06 08:53:41,,,,,,,,,2019-06-06 09:11:34,,2019-06-06 09:05:54,2019-06-06 09:00:44
869,,,,,,,,,,,,2019-06-06 10:07:21,,,
870,,,2019-06-06 10:34:43,,,,,,,,,2019-06-06 10:45:07,,2019-06-06 10:38:54,2019-06-06 10:34:43
871,,,,2019-06-06 11:20:39,,,,,,,,,,,
872,,,2019-06-06 11:38:05,,,2019-06-06 11:51:00,,,,,2019-06-06 11:43:48,,,2019-06-06 11:38:05,
873,,,,,,,,,,,,2019-06-06 12:30:57,,2019-06-06 12:25:38,2019-06-06 12:21:10
875,,,2019-06-06 13:56:21,,,,,,,,,2019-06-06 13:51:23,,2019-06-06 13:47:28,2019-06-06 13:41:36
876,,,2019-06-06 14:27:39,,,,,,,,,,,,
877,2019-06-06 16:06:06,,,,,,,,,2019-06-06 16:01:44,,2019-06-06 15:36:49,,2019-06-06 15:26:55,
878,,,2019-06-06 16:35:59,,,,,,,,,,,,
879,,,2019-06-06 16:45:59,,,,,,,,,2019-06-06 17:09:10,,2019-06-06 17:02:29,2019-06-06 16:53:47
880,2019-06-06 17:57:05,,2019-06-06 17:47:03,2019-06-06 17:35:17,,,,,,,,2019-06-06 17:30:38,,2019-06-06 17:24:53,
881,2019-06-06 18:43:52,,2019-06-06 18:23:59,2019-06-06 18:13:50,,,,,,,,2019-06-06 18:43:52,,2019-06-06 18:37:46,2019-06-06 18:23:59
882,2019-06-06 19:19:59,,2019-06-06 18:51:45,2019-06-06 18:51:45,,,,,,,,2019-06-06 19:19:59,,2019-06-06 19:16:17,2019-06-06 19:03:15
883,2019-06-06 19:34:20,,2019-06-06 19:34:20,2019-06-06 19:34:20,,,,,,,,2019-06-06 19:42:23,,2019-06-06 19:34:20,2019-06-06 19:42:23
884,,,2019-06-06 20:06:53,,,,,,,,,2019-06-06 20:06:53,,2019-06-06 20:25:18,2019-06-06 20:06:53
885,,,2019-06-06 20:56:10,,,,,,,,,2019-06-06 20:44:23,,2019-06-06 20:56:10,2019-06-06 20:44:23
886,,,2019-06-06 21:30:10,,,,,,,,,2019-06-06 21:30:10,,2019-06-06 21:24:04,2019-06-06 21:15:45
887,2019-06-06 21:53:51,,2019-06-06 21:43:54,,,,,,,,,2019-06-06 22:06:17,,2019-06-06 22:01:55,2019-06-06 21:53:51
888,,,2019-06-06 22:18:59,,,,,,,,,2019-06-06 22:26:24,,2019-06-06 22:36:52,2019-06-06 22:26:24
889,,,,2019-06-06 23:21:33,,,,,,,,2019-06-06 23:12:26,,2019-06-06 23:07:18,2019-06-06 23:02:34
890,,,,2019-06-07 00:05:09,,,,,,,,2019-06-06 23:58:32,,2019-06-06 23:53:59,2019-06-06 23:49:40
891,,,,2019-06-07 00:19:27,,,,,,,,2019-06-07 00:32:29,,2019-06-07 00:25:01,2019-06-07 00:19:27
892,,,,2019-06-07 00:54:57,,,,,,,,2019-06-07 00:54:57,,2019-06-07 00:47:10,2019-06-07 00:54:57
893,,,,2019-06-07 01:45:30,,,,,,,,2019-06-07 01:45:30,,2019-06-07 01:38:49,2019-06-07 01:34:42
894,,,,,,2019-06-07 02:24:34,,,,,,2019-06-07 02:20:12,,2019-06-07 02:18:04,2019-06-07 02:10:20
895,,,,2019-06-07 03:00:31,,,,,,,,,,,
896,,,,2019-06-07 03:08:49,,,,,,,,2019-06-07 04:03:03,,2019-06-07 03:59:40,2019-06-07 03:52:44
897,,,,2019-06-07 04:24:58,,,,,,,,2019-06-07 04:24:58,,2019-06-07 04:47:23,2019-06-07 04:41:14
898,,,,2019-06-07 05:53:58,,,,,,,,2019-06-07 06:06:11,,2019-06-07 05:53:58,2019-06-07 05:39:17
899,,,,2019-06-07 06:39:27,,,,,,,,2019-06-07 06:39:27,,2019-06-07 06:39:27,2019-06-07 06:30:15
900,,,,2019-06-07 07:14:21,,,,,,,,,,,
901,,,,2019-06-07 08:03:12,,,,,,,,,,,
902,,,,,,2019-06-07 08:47:00,,,,,2019-06-07 08:42:42,2019-06-07 08:30:28,,2019-06-07 08:27:04,2019-06-07 08:24:00
903,,,2019-06-07 09:53:44,,,,,,,,,2019-06-07 09:48:19,,2019-06-07 09:39:51,2019-06-07 09:07:33
904,,,2019-06-07 11:17:00,,,,,,,,,2019-06-07 11:14:22,,2019-06-07 11:07:09,2019-06-07 10:59:49
905,,,2019-06-07 12:19:04,,,,,,,,,,,2019-06-07 12:11:15,
906,,,2019-06-07 13:02:25,,,,,,,,,2019-06-07 12:55:41,,2019-06-07 12:50:28,2019-06-07 12:44:42
907,,,2019-06-07 14:01:08,,,2019-06-07 13:40:45,,,,,,2019-06-07 14:17:33,,2019-06-07 14:12:24,2019-06-07 14:01:08
908,,,2019-06-07 15:05:30,,,2019-06-07 14:58:56,,,,,,,,2019-06-07 14:52:14,
909,,,2019-06-07 15:19:28,,,,,,,,2019-06-07 15:41:43,2019-06-07 15:39:07,,2019-06-07 15:32:17,2019-06-07 15:27:30
910,,,2019-06-07 16:20:41,,,2019-06-07 16:14:36,,,,,,,,2019-06-07 16:07:04,
911,,,2019-06-07 17:03:34,,,2019-06-07 16:37:52,,,,,,2019-06-07 17:14:22,,2019-06-07 17:07:22,2019-06-07 17:03:34
912,,,2019-06-07 18:20:21,,,2019-06-07 18:17:49,,,,,,2019-06-07 18:07:07,,2019-06-07 17:55:06,2019-06-07 17:48:38
913,,,2019-06-07 19:22:11,,,2019-06-07 19:18:22,,,,,,2019-06-07 19:06:23,,2019-06-07 19:00:20,
914,,,,,,,,,,,,2019-06-07 20:06:42,,2019-06-07 20:02:45,2019-06-07 19:55:46
915,,,2019-06-07 21:17:18,,,,,,,,,,,2019-06-07 21:13:27,
916,,,2019-06-07 21:36:45,,,2019-06-07 21:59:11,,,,,,,,2019-06-07 21:54:47,
917,,,,,,2019-06-07 23:55:43,,,,,,,,2019-06-07 23:51:48,
918,,,,,,2019-06-08 00:43:43,,,,,2019-06-08 00:04:16,2019-06-08 00:43:43,,2019-06-08 00:38:52,2019-06-08 00:23:11
919,,,,,,2019-06-08 01:33:26,,,,,,,,2019-06-08 01:28:40,
920,,,,,,,,,,,,2019-06-08 02:36:55,,2019-06-08 02:23:41,2019-06-08 02:06:38
921,,,2019-06-08 03:38:15,,,,,,,,,2019-06-08 03:32:55,,2019-06-08 03:16:09,2019-06-08 03:11:47
922,,,,,,,,,,,,2019-06-08 04:11:41,,2019-06-08 04:01:09,2019-06-08 03:56:40
923,,,2019-06-08 04:26:49,,,,,,,,,2019-06-08 04:57:35,,2019-06-08 04:43:35,2019-06-08 04:31:32
924,,,2019-06-08 06:11:18,,,,,,,,,2019-06-08 06:07:19,,2019-06-08 05:55:33,2019-06-08 05:32:04
925,2019-06-08 06:48:21,,2019-06-08 07:04:28,,,,,,,,,2019-06-08 06:48:21,,2019-06-08 06:39:01,2019-06-08 06:34:31
926,,,2019-06-08 07:30:08,,,,,,,,,2019-06-08 07:32:37,,2019-06-08 07:30:08,2019-06-08 07:20:51
927,,,,,,,,,,,,2019-06-08 08:03:39,,2019-06-08 08:00:11,2019-06-08 07:55:04
928,,,2019-06-08 12:42:14,,,2019-06-08 12:40:52,,,,,,,,,
929,,,,,,,,,,,,,,2019-06-08 13:48:47,
930,,,,,,,,,,,,2019-06-08 14:20:25,,2019-06-08 14:13:31,
932,,,,,,,,,,,,2019-06-08 15:44:47,,,
935,,,,,,2019-06-08 20:24:04,,,,,,2019-06-08 20:20:05,,2019-06-08 20:07:35,2019-06-08 20:01:58
936,2019-06-08 21:02:27,,,2019-06-08 20:58:01,,,,,,,,2019-06-08 20:50:30,,2019-06-08 20:44:44,2019-06-08 20:39:54
937,,,,2019-06-08 21:14:24,,,,,,,,2019-06-08 21:54:56,,2019-06-08 21:36:55,2019-06-08 21:24:46
938,,,,2019-06-08 22:10:23,,,,,,,,2019-06-08 22:50:53,,2019-06-08 22:36:24,2019-06-08 22:22:34
939,,,,2019-06-08 23:47:45,,,,,,,,2019-06-09 00:04:24,,2019-06-08 23:55:42,2019-06-08 23:47:45
940,,,,2019-06-09 00:48:18,,,,,,,,2019-06-09 00:25:20,,2019-06-09 00:48:18,2019-06-09 00:38:44
941,,,,2019-06-09 01:55:16,,,,,,,,2019-06-09 01:55:16,,2019-06-09 02:06:06,2019-06-09 01:55:16
942,,,2019-06-09 02:54:14,,,,,,,,,,,2019-06-09 02:45:29,
943,,,,2019-06-09 03:24:18,,,,,,,,,,,
944,2019-06-09 04:50:04,,2019-06-09 04:44:18,,,2019-06-09 04:21:00,,,,,,,,2019-06-09 04:10:01,
945,,,2019-06-09 04:56:38,,,2019-06-09 05:57:53,,,,,,2019-06-09 05:40:49,,2019-06-09 05:35:15,2019-06-09 05:04:39
946,,,2019-06-09 06:09:17,,2019-06-09 06:13:50,,,,,,,2019-06-09 06:09:17,,2019-06-09 06:25:55,2019-06-09 06:23:02
947,,,,,,,,,,,,2019-06-09 07:22:53,,2019-06-09 07:16:04,2019-06-09 07:11:42
948,,,,,,2019-06-09 08:41:04,,,,,,2019-06-09 08:34:44,2019-06-09 08:18:22,,
949,,,2019-06-09 09:02:23,,,2019-06-09 09:02:23,,,,,,2019-06-09 09:02:23,,2019-06-09 09:09:26,2019-06-09 09:02:23
950,2019-06-09 10:16:31,,,,,2019-06-09 10:16:31,,,,,,2019-06-09 09:54:01,,2019-06-09 10:16:31,2019-06-09 10:06:44
951,2019-06-09 10:37:29,,,,,2019-06-09 10:42:54,,,,,,2019-06-09 10:42:54,,2019-06-09 10:47:28,2019-06-09 10:42:54
952,,,,,,,,,,,,2019-06-09 11:23:39,,2019-06-09 11:33:01,2019-06-09 11:23:39
953,,,,,,,,,,,,2019-06-09 12:16:20,,2019-06-09 12:11:49,2019-06-09 12:04:28
954,,,2019-06-09 13:04:35,,,,,,,,,,,,
955,,,,,,,,,,,,2019-06-09 14:05:11,,2019-06-09 14:01:30,2019-06-09 13:55:56
956,,,2019-06-09 15:00:55,,,,,,,,,2019-06-09 14:57:04,,2019-06-09 14:41:11,2019-06-09 14:37:23
957,,,2019-06-09 15:20:49,,,,,,,,,2019-06-09 15:37:45,,2019-06-09 15:37:45,2019-06-09 15:29:25
958,,,2019-06-09 15:54:41,,,,,,,,,2019-06-09 16:01:40,,2019-06-09 16:01:40,2019-06-09 15:54:41
959,,,2019-06-09 18:36:20,2019-06-09 18:27:04,,,,,,,,2019-06-09 18:24:28,,2019-06-09 17:53:49,2019-06-09 17:42:47
962,,,,,,,,,,,,2019-06-09 20:20:51,,2019-06-09 20:20:51,2019-06-09 20:15:53
963,,,2019-06-09 20:49:12,,,,,,,,,2019-06-09 20:36:20,,2019-06-09 20:49:12,2019-06-09 20:49:12
965,,,2019-06-09 22:02:56,,,,,,,,,2019-06-09 21:44:18,,2019-06-09 22:06:32,2019-06-09 22:02:56
967,,,,,,,,,,,,2019-06-09 22:57:56,,2019-06-09 23:07:23,2019-06-09 23:13:30
968,,,2019-06-09 23:46:45,,,,,,,,,2019-06-09 23:43:21,,2019-06-09 23:36:28,2019-06-09 23:32:15
969,,,2019-06-10 00:21:34,,,,,,,,,,,2019-06-10 00:16:27,
970,,,,,,,,,,,,2019-06-10 01:00:51,,2019-06-10 00:55:37,2019-06-10 00:48:30
971,,,2019-06-10 01:29:23,,,,,,,,,2019-06-10 01:58:12,,2019-06-10 01:48:42,2019-06-10 01:36:20
972,,,2019-06-10 02:47:38,,,,,,,,,2019-06-10 02:36:10,,2019-06-10 02:27:28,
973,,,2019-06-10 03:18:02,,,,,,,,,,,2019-06-10 03:12:45,
974,,,2019-06-10 03:46:29,,,,,,,,,,,,
975,2019-06-10 04:29:05,,2019-06-10 04:25:49,,,,,,,,,,,2019-06-10 04:21:56,
976,2019-06-10 04:46:03,,2019-06-10 05:04:24,,,,,,,,,,,2019-06-10 04:53:13,
977,,,2019-06-10 05:17:41,,,,,,,,,,,,
978,,,,,,,,,,,,,,2019-06-10 06:34:44,
979,,,2019-06-10 06:44:52,,,,,,,,,,,2019-06-10 06:50:34,
980,,,2019-06-10 07:37:30,,,,,,,,,,,2019-06-10 07:43:03,
981,,,,,,,,,,,,2019-06-10 08:59:39,,2019-06-10 08:59:39,2019-06-10 08:52:19
982,,,,,,,,,,,,2019-06-10 09:17:35,,2019-06-10 09:21:33,2019-06-10 09:21:33
985,,,,,,,,,,,,2019-06-10 11:17:47,,2019-06-10 11:36:29,2019-06-10 11:23:48
986,,,2019-06-10 12:43:39,,,,,,,,,,,2019-06-10 12:37:40,
987,,,2019-06-10 15:02:33,,,,,,,,,,,2019-06-10 14:59:10,
988,,,,2019-06-10 15:53:05,,,,,,,,2019-06-10 16:00:26,,2019-06-10 16:06:22,2019-06-10 16:00:26
989,,,2019-06-10 17:16:07,,,,,,,,,2019-06-10 17:12:16,,2019-06-10 17:01:35,2019-06-10 16:53:51
990,,,,,,,,,,,,2019-06-10 17:42:50,,2019-06-10 17:39:02,2019-06-10 17:35:10
991,,,2019-06-10 18:17:48,,,,,,,,,2019-06-10 18:20:35,,2019-06-10 18:17:48,2019-06-10 18:06:33
992,,,,,,,,,,,,2019-06-10 18:29:30,,2019-06-10 18:50:27,2019-06-10 18:36:19
993,,,,,,,,,,2019-06-10 20:08:17,,2019-06-10 20:06:05,,2019-06-10 19:56:43,2019-06-10 19:53:54
994,,,2019-06-10 20:55:19,,,,,,,2019-06-10 20:43:32,,2019-06-10 20:39:50,,2019-06-10 20:34:47,2019-06-10 20:29:42
995,,,,2019-06-10 21:20:44,,,,,,,,2019-06-10 21:48:37,,2019-06-10 21:45:49,2019-06-10 21:20:44
996,,,,2019-06-10 22:03:05,,,,,,,,2019-06-10 22:03:05,,2019-06-10 22:29:40,2019-06-10 22:10:15
997,,,,,,,,,,2019-06-10 22:58:03,,2019-06-10 22:58:03,,2019-06-10 22:54:26,2019-06-10 22:43:15
998,,,,2019-06-10 23:27:38,,,,,,,,,,,
999,,,2019-06-11 00:17:46,,,,,,,,,2019-06-11 00:10:44,,2019-06-10 23:58:47,2019-06-10 23:52:47
1000,,,2019-06-11 01:19:47,,,,,,,,,,,,
1001,,,2019-06-11 02:21:43,,,,,,,,,,,,
1002,2019-06-11 02:42:28,,,,,,,,,,,2019-06-11 03:04:23,,2019-06-11 03:04:23,
1003,2019-06-11 03:44:35,,,,,,,,,,,2019-06-11 03:44:35,,2019-06-11 03:44:35,
1004,,,2019-06-11 05:24:24,,,,,,,,,2019-06-11 05:20:59,,2019-06-11 05:08:28,2019-06-11 04:54:38
1005,2019-06-11 06:08:17,,2019-06-11 06:16:51,,,,,,,,,2019-06-11 06:21:58,,2019-06-11 06:16:51,2019-06-11 06:08:17
1006,,,,,,2019-06-11 07:07:17,,,,,2019-06-11 07:22:27,2019-06-11 07:26:34,,2019-06-11 07:22:27,2019-06-11 07:15:54
1007,2019-06-11 08:44:22,,,,,2019-06-11 08:32:37,,,,,,2019-06-11 08:19:40,,2019-06-11 08:13:58,
1008,,,,,,2019-06-11 08:57:20,,,,,,2019-06-11 09:05:56,,2019-06-11 09:05:56,2019-06-11 09:05:56
1009,2019-06-11 09:37:50,,,,,2019-06-11 09:33:20,,,,,,2019-06-11 09:33:20,,2019-06-11 09:48:39,2019-06-11 09:37:50
1010,2019-06-11 10:10:21,,2019-06-11 10:25:40,,,2019-06-11 10:25:40,,,,,,2019-06-11 10:25:40,,2019-06-11 10:21:33,2019-06-11 10:16:38
1011,2019-06-11 11:34:49,,,,,2019-06-11 11:42:54,,,,,,,,2019-06-11 11:34:49,
1012,,,,,,2019-06-11 13:02:20,,,,,,,,2019-06-11 12:48:26,
1013,2019-06-11 14:33:01,,,,,2019-06-11 15:00:48,,,,,,,,2019-06-11 14:52:56,
1014,,,,,,2019-06-11 16:06:08,,,,,,2019-06-11 16:02:47,,2019-06-11 15:56:20,2019-06-11 15:50:59
1015,,,,,,2019-06-11 16:16:49,,,,,,2019-06-11 16:23:48,,2019-06-11 16:27:48,2019-06-11 16:23:48
1016,,,2019-06-11 17:15:34,,,,,,,,,2019-06-11 17:15:34,,2019-06-11 17:10:12,2019-06-11 17:00:47
1017,,,,2019-06-11 18:01:41,,,,,,,,2019-06-11 17:59:05,,2019-06-11 17:55:11,2019-06-11 17:46:42
1018,,,2019-06-11 18:25:20,,,,,,,,,2019-06-11 18:29:57,,2019-06-11 18:25:20,2019-06-11 18:19:11
1019,,,2019-06-11 18:53:24,,,2019-06-11 18:53:24,,,,,2019-06-11 19:15:50,2019-06-11 19:10:30,,2019-06-11 19:01:41,2019-06-11 18:53:24
1020,,,2019-06-11 19:30:24,,,2019-06-11 19:30:24,,,,,,2019-06-11 19:52:10,,2019-06-11 19:47:18,2019-06-11 19:39:38
1021,,,2019-06-11 20:45:46,,,2019-06-11 20:41:43,,,,,,2019-06-11 20:37:08,,2019-06-11 20:25:40,2019-06-11 20:19:24
1022,,,,,,2019-06-11 21:53:17,,,,,,2019-06-11 21:50:14,,2019-06-11 21:37:47,2019-06-11 21:34:32
1023,,,2019-06-11 22:00:25,,,2019-06-11 22:38:01,,,,,,2019-06-11 22:33:17,,2019-06-11 22:19:53,2019-06-11 22:17:24
1024,,,,,,2019-06-11 23:01:45,,,,,2019-06-11 23:01:45,2019-06-11 23:12:57,,2019-06-11 23:06:16,2019-06-11 23:01:45
1025,,,2019-06-11 23:53:59,,,2019-06-11 23:47:56,,,,,,,,,
1026,,,2019-06-12 00:21:16,,,2019-06-12 00:10:33,,,,,,2019-06-12 00:33:51,,2019-06-12 00:21:16,
1027,,,2019-06-12 01:31:45,,,,,,,,2019-06-12 01:27:39,,,2019-06-12 01:16:21,
1028,,,2019-06-12 02:34:06,,,,,,,,2019-06-12 02:31:44,2019-06-12 02:28:01,,2019-06-12 02:23:52,2019-06-12 02:12:57
1029,,,,2019-06-12 04:49:06,,,,,,,,2019-06-12 04:40:22,,2019-06-12 04:31:48,2019-06-12 04:26:04
1030,,,,,,2019-06-12 05:43:39,,,,,2019-06-12 05:40:52,2019-06-12 05:35:22,,2019-06-12 05:27:44,2019-06-12 05:16:02
1031,,,2019-06-12 06:20:24,,,,,,,,,2019-06-12 06:23:07,,2019-06-12 06:20:24,2019-06-12 06:12:24
1032,,,,,,2019-06-12 07:04:01,,,,,,2019-06-12 06:59:38,,2019-06-12 06:55:12,2019-06-12 06:48:34
1033,,,2019-06-12 07:46:32,2019-06-12 07:37:40,,,,,,,,,,2019-06-12 07:22:50,
1034,,,2019-06-12 08:07:57,2019-06-12 08:37:57,,,,,,,,2019-06-12 08:45:09,,2019-06-12 08:37:57,2019-06-12 08:19:02
1035,,,,2019-06-12 09:03:43,,,,,,,,2019-06-12 09:13:14,,2019-06-12 09:13:14,2019-06-12 09:03:43
1036,,,2019-06-12 09:51:39,,,,,,,,,2019-06-12 09:46:00,,2019-06-12 09:40:35,2019-06-12 09:34:47
1037,,,2019-06-12 10:11:32,,,,,,,,,2019-06-12 10:11:32,,2019-06-12 10:18:34,2019-06-12 10:11:32
1038,,,2019-06-12 10:42:00,,,,,,,,,2019-06-12 10:50:52,,2019-06-12 10:50:52,2019-06-12 10:42:00
1039,,,2019-06-12 11:26:54,,,,,,,,,2019-06-12 11:24:21,,2019-06-12 11:17:50,2019-06-12 11:12:22
1040,,,2019-06-12 11:54:56,,,,,,,,,2019-06-12 11:54:56,,2019-06-12 11:51:45,2019-06-12 11:44:51
1041,,,2019-06-12 13:12:15,,,,,,,,,2019-06-12 13:06:10,,2019-06-12 12:46:39,2019-06-12 12:40:35
1042,,,,,,,,,,,,,,2019-06-12 13:51:35,
1043,,,,,,,,,,,,,,2019-06-12 14:20:50,
1044,,,,,,,,,,,,,,2019-06-12 14:57:59,
1045,,,,,,2019-06-12 16:03:03,,,,,,2019-06-12 16:26:15,,2019-06-12 16:19:08,2019-06-12 16:13:44
1046,,,,,,2019-06-12 17:24:27,,,,,2019-06-12 17:19:45,2019-06-12 17:15:00,,2019-06-12 17:02:14,2019-06-12 16:48:02
1047,,,,,,2019-06-12 17:48:44,,,,,2019-06-12 18:03:07,2019-06-12 17:59:48,,2019-06-12 17:54:05,2019-06-12 17:48:44
1048,,,2019-06-12 19:18:54,,,2019-06-12 19:18:54,,,,,,,,,
1049,,,,,,2019-06-12 19:34:53,,,,,2019-06-12 19:34:53,2019-06-12 20:21:52,,2019-06-12 20:05:01,2019-06-12 19:53:41
1050,2019-06-12 21:25:00,,,,,2019-06-12 20:58:31,,,,,2019-06-12 21:30:38,2019-06-12 21:25:00,,2019-06-12 21:06:18,2019-06-12 20:58:31
1051,,,,2019-06-12 22:35:16,,,,,,,,2019-06-12 22:30:01,,2019-06-12 22:21:00,2019-06-12 22:03:11
1052,,,,2019-06-12 23:13:27,,,,,,,,2019-06-12 23:10:29,,2019-06-12 23:08:15,2019-06-12 22:58:48
1053,,,,2019-06-12 23:39:54,,,,,,,,2019-06-12 23:39:54,,2019-06-12 23:32:35,2019-06-12 23:27:32
1054,,,,2019-06-13 00:21:10,,,,,,,,,,2019-06-13 00:06:56,
1055,,,,2019-06-13 00:44:59,,,,,,,,,,,
1056,,,,2019-06-13 01:21:48,,,,,,,,,,,
1057,,,,,,,,,,2019-06-13 02:15:11,,2019-06-13 02:13:23,,2019-06-13 02:06:31,2019-06-13 02:01:58
1058,,,,2019-06-13 03:11:41,,,,,,,,2019-06-13 03:06:46,,2019-06-13 03:01:19,2019-06-13 02:46:05
1059,,,,,,,,,,2019-06-13 04:15:09,,,,2019-06-13 04:10:05,
1060,,,,2019-06-13 05:24:41,,,,,,2019-06-13 05:22:48,,2019-06-13 05:24:41,,2019-06-13 05:22:48,2019-06-13 05:03:56
1061,,,2019-06-13 07:41:49,,,,,,,,,2019-06-13 07:30:06,,2019-06-13 07:25:07,2019-06-13 07:16:52
1063,,,2019-06-13 08:30:17,,,,,,,,,2019-06-13 08:42:43,,2019-06-13 08:37:03,2019-06-13 08:30:17
1064,2019-06-13 09:26:07,,2019-06-13 09:26:07,,,,,,,,,2019-06-13 09:20:29,,2019-06-13 09:07:29,2019-06-13 08:59:22
1065,2019-06-13 10:36:33,,2019-06-13 10:33:06,,,,,,,,,2019-06-13 10:25:23,,2019-06-13 10:10:38,
1066,,,2019-06-13 13:12:41,,,,,,,,,2019-06-13 13:07:02,,2019-06-13 13:03:05,
1067,,,2019-06-13 13:57:56,,,,,,,,,2019-06-13 13:50:44,,2019-06-13 13:33:08,
1068,,,2019-06-13 14:13:20,,,,,,,,2019-06-13 14:44:39,2019-06-13 14:40:50,,2019-06-13 14:31:50,2019-06-13 14:21:44
1069,,,2019-06-13 15:02:59,,,,,,,,,2019-06-13 15:14:14,,2019-06-13 15:09:18,2019-06-13 15:02:59
1070,,,2019-06-13 15:47:57,,,,,,,,,,,2019-06-13 15:47:57,
1071,,,2019-06-13 16:06:08,,,,,,,,,2019-06-13 16:14:12,,2019-06-13 16:20:53,
1072,,,2019-06-13 16:53:54,,,,,,,,,2019-06-13 16:53:54,,2019-06-13 16:50:53,2019-06-13 16:43:49
1073,,,2019-06-13 17:23:22,,,,,,,,,2019-06-13 17:28:53,,2019-06-13 17:23:22,2019-06-13 17:18:46
1074,2019-06-13 17:43:37,,2019-06-13 17:43:37,,,,,,,,,2019-06-13 17:49:31,,2019-06-13 17:58:38,2019-06-13 17:49:31
1075,,,2019-06-13 18:20:59,2019-06-13 18:20:59,,,,,,,,2019-06-13 18:20:59,,2019-06-13 18:20:59,2019-06-13 18:24:33
1076,,,,2019-06-13 19:11:19,,,,,,,,2019-06-13 19:11:19,,2019-06-13 19:17:09,2019-06-13 19:17:09
1077,,,2019-06-13 19:57:05,2019-06-13 19:57:05,,,,,,,,2019-06-13 20:08:36,,2019-06-13 19:57:05,2019-06-13 19:49:03
1078,,,,2019-06-13 20:50:50,,,,,,,,,,,
1079,,,,2019-06-13 22:24:29,,,,,,,,,,2019-06-13 22:12:34,
1080,2019-06-13 22:35:50,,,2019-06-13 22:35:50,,,,,,,,2019-06-13 22:53:10,,2019-06-13 22:53:10,2019-06-13 22:43:42
1081,,,2019-06-13 23:51:40,,,,,,,,,,,,
1082,,,,2019-06-14 01:05:37,,,,,,,,2019-06-14 01:00:33,,2019-06-14 00:55:22,2019-06-14 00:47:08
1083,,,2019-06-14 02:00:08,,,,,,,,,,,,
1084,,,2019-06-14 02:18:05,,,,,,,,2019-06-14 02:25:19,2019-06-14 02:25:19,,2019-06-14 02:25:19,2019-06-14 02:37:06
1085,,,,,,,,,,,,,,2019-06-14 03:13:47,
1086,,,2019-06-14 03:42:13,,,,,,,,,2019-06-14 04:04:01,,2019-06-14 04:04:01,2019-06-14 03:55:34
