key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
521,2019-05-23 09:32:48,2019-05-23 09:27:27,,,,,,,
522,2019-05-23 10:03:15,2019-05-23 09:57:00,,,,,,,
523,2019-05-23 10:38:19,2019-05-23 10:31:25,,,,,,,
524,2019-05-23 11:09:48,2019-05-23 11:04:16,,,,,,,
525,2019-05-23 11:53:13,2019-05-23 11:48:59,,,,,,,
526,2019-05-23 12:29:36,2019-05-23 12:26:12,,,,,,,
527,2019-05-23 13:06:11,2019-05-23 12:53:47,,,,,,,
528,2019-05-23 13:47:37,,,,,,,,
530,,2019-05-23 14:54:17,,,,,,,
531,2019-05-23 16:49:32,2019-05-23 16:40:43,,,,,,,
532,2019-05-23 17:39:06,,,,,,,,
533,2019-05-23 18:24:15,2019-05-23 18:18:15,,,,,,,
534,2019-05-23 19:04:45,,,,,,,,
535,2019-05-23 19:43:57,,,,,,,,
536,2019-05-23 20:47:59,2019-05-23 20:41:50,,,,,,,
537,2019-05-23 21:57:16,,,,,,,,
538,2019-05-23 23:08:09,,,,,,,,
539,2019-05-23 23:48:33,,,,,,,,
541,2019-05-24 00:21:05,,,,,,,,
542,2019-05-24 01:15:02,,,,,,,,
543,2019-05-24 01:48:38,,,,,,,,
544,2019-05-24 03:17:01,,,,,,,,
545,2019-05-24 07:25:20,,,,,,,,
546,2019-05-24 08:21:43,,,,,,,,
547,2019-05-24 09:18:06,,,,,,,,
548,2019-05-24 09:53:37,,,,,,,,
549,2019-05-24 10:48:47,2019-05-24 10:39:21,,,,,,,
550,2019-05-24 11:41:58,,,,,,,,
551,,2019-05-24 13:05:13,,,,,,,
552,2019-05-24 13:45:16,,,,,,,,
553,2019-05-24 14:32:14,,,,,,,,
554,2019-05-24 15:39:57,,,,,,,,
555,2019-05-24 16:40:42,2019-05-24 16:30:43,,,,,,,
556,2019-05-24 17:35:03,2019-05-24 17:35:03,,,,,,,
557,2019-05-24 18:23:28,,,,,,,,
558,2019-05-24 18:50:17,,,,,,,,
559,2019-05-24 19:27:55,,,,,,,,
560,2019-05-24 19:59:37,,,,,,,,
561,2019-05-24 20:26:19,,,,,,,,
562,2019-05-24 21:30:05,,,,,,,,
563,2019-05-24 22:04:13,,,,,,,,
564,2019-05-24 23:05:51,,,,,,,,
565,2019-05-24 23:37:15,,,,,,,,
566,2019-05-25 00:41:52,,,,,,,,
567,2019-05-25 01:15:25,,,,,,,,
568,2019-05-25 02:12:10,,,,,,,,
569,2019-05-25 03:01:05,2019-05-25 02:53:08,,,,,,,
570,2019-05-25 03:26:36,2019-05-25 03:17:38,,,,,,,
571,2019-05-25 04:11:28,2019-05-25 04:01:05,,,,,,,
572,2019-05-25 04:54:17,2019-05-25 04:44:17,,,,,,,
573,2019-05-25 06:07:49,,,,,,,,
574,2019-05-25 07:06:39,,,,,,,,
575,2019-05-25 07:49:57,2019-05-25 07:44:31,,,,,,,
576,2019-05-25 08:24:29,2019-05-25 08:18:15,,,,,,,
577,2019-05-25 08:58:58,2019-05-25 08:53:02,,,,,,,
578,2019-05-25 09:26:42,2019-05-25 09:21:54,,,,,,,
579,2019-05-25 09:53:21,2019-05-25 09:51:04,,,,,,,
580,2019-05-25 10:58:18,2019-05-25 10:51:39,,,,,,,
581,2019-05-25 11:38:26,2019-05-25 11:32:02,,,,,,,
582,2019-05-25 12:44:54,,,,,,,,
583,2019-05-25 13:20:50,2019-05-25 13:10:55,,,,,,,
584,2019-05-25 16:07:36,,,,,,,,
585,2019-05-25 17:15:06,,,,,,,,
586,2019-05-25 17:56:22,,,,,,,,
587,2019-05-25 18:31:20,,,,,,,,
588,2019-05-25 19:22:20,,,,,,,,
589,2019-05-25 20:23:09,,,,,,,,
590,2019-05-25 21:09:44,,,,,,,,
591,2019-05-25 22:42:35,,,,,,,,
592,2019-05-25 23:09:33,,,,,,,,
593,2019-05-25 23:56:11,,,,,,,,
594,2019-05-26 00:36:59,2019-05-26 00:26:32,,,,,,,
595,2019-05-26 01:06:31,,,,,,,,
596,2019-05-26 02:12:16,,,,,,,,
597,2019-05-26 02:55:53,,,,,,,,
598,2019-05-26 03:50:17,2019-05-26 03:44:50,,,,,,,
599,2019-05-26 04:23:02,,,,,,,,
600,2019-05-26 04:55:39,,,,,,,,
601,2019-05-26 05:49:07,,,,,,,,
602,2019-05-26 06:33:36,,,,,,,,
603,2019-05-26 07:47:08,2019-05-26 07:34:53,,,,,,,
604,2019-05-26 08:12:01,,,,,,,,
605,2019-05-26 09:25:02,,,,,,,,
606,2019-05-26 10:41:30,,,,,,,,
608,2019-05-26 11:26:42,,,,,,,,
609,2019-05-26 12:19:31,,,,,,,,
610,2019-05-26 12:57:07,,,,,,,,
611,2019-05-26 14:34:45,,,,,,,,
612,2019-05-26 15:07:47,2019-05-26 15:01:31,,,,,,,
613,2019-05-26 15:47:45,,,,,,,,
614,2019-05-26 17:04:43,,,,,,,,
615,2019-05-26 18:08:29,,,,,,,,
616,2019-05-26 18:44:42,,,,,,,,
617,2019-05-26 19:22:43,,,,,,,,
618,2019-05-26 20:08:47,,,,,,,,
619,2019-05-26 20:38:40,,,,,,,,
620,2019-05-26 21:00:48,,,,,,,,
621,2019-05-26 21:49:31,,,,,,,,
622,2019-05-26 22:31:18,,,,,,,,
623,2019-05-26 23:24:32,,,,,,,,
624,2019-05-26 23:56:49,,,,,,,,
625,2019-05-27 00:59:21,,,,,,,,
626,2019-05-27 07:02:26,2019-05-27 06:54:48,,,,,,,
627,2019-05-27 07:11:34,,,,,,,,
628,2019-05-27 08:05:05,2019-05-27 07:59:46,,,,,,,
629,2019-05-27 08:58:34,2019-05-27 08:45:17,,,,,,,
630,2019-05-27 13:10:43,2019-05-27 12:52:43,,,,,,,
631,2019-05-27 13:54:33,2019-05-27 13:46:31,,,,,,,
632,2019-05-27 14:27:20,2019-05-27 14:19:46,,,,,,,
633,2019-05-27 15:01:23,2019-05-27 14:53:31,,,,,,,
634,2019-05-27 15:23:04,,,,,,,,
635,2019-05-27 16:05:05,2019-05-27 15:54:55,,,,,,,
636,2019-05-27 16:37:34,,,,,,,,
637,2019-05-27 17:18:35,,,,,,,,
638,2019-05-27 20:44:46,,,,,,,,
639,2019-05-27 21:53:29,,,,,,,,
640,2019-05-28 03:13:41,,,,,,,,
641,2019-05-28 03:57:11,,,,,,,,
642,2019-05-28 09:00:22,,,,,,,,
643,2019-05-28 09:40:58,,,,,,,,
644,2019-05-28 13:30:26,,,,,,,,
645,2019-05-28 14:30:17,,,,,,,,
646,2019-05-28 14:59:47,,,,,,,,
647,2019-05-28 15:33:08,,,,,,,,
648,2019-05-28 16:20:22,,,,,,,,
649,2019-05-28 17:10:12,,,,,,,,
650,2019-05-28 18:45:48,,,,,,,,
651,2019-05-28 20:00:19,,,,,,,,
652,2019-05-28 21:05:06,,,,,,,,
653,2019-05-28 22:38:26,,,,,,,,
654,2019-05-28 23:35:39,2019-05-28 23:28:29,,,,,,,
655,2019-05-29 00:05:17,,,,,,,,
656,2019-05-29 00:41:42,,,,,,,,
657,2019-05-29 01:38:09,2019-05-29 01:30:13,,,,,,,
658,2019-05-29 02:53:37,,,,,,,,
659,2019-05-29 03:45:06,,,,,,,,
660,2019-05-29 05:07:50,,,,,,,,
661,2019-05-29 05:37:22,2019-05-29 05:37:22,,,,,,,
662,2019-05-29 07:07:20,,,,,,,,
663,2019-05-29 10:17:28,,,,,,,,
664,2019-05-29 11:15:32,,,,,,,,
665,2019-05-29 11:49:42,,,,,,,,
666,2019-05-29 12:19:41,,,,,,,,
667,2019-05-29 13:02:38,,,,,,,,
668,2019-05-29 13:35:23,,,,,,,,
669,2019-05-29 14:17:12,,,,,,,,
670,2019-05-29 14:37:47,,,,,,,,
671,2019-05-29 15:25:12,,,,,,,,
672,2019-05-29 16:25:33,,,,,,,,
673,2019-05-29 17:09:03,,,,,,,,
674,2019-05-29 17:58:18,,,,,,,,
675,2019-05-29 18:29:29,,,,,,,,
676,2019-05-29 19:12:35,,,,,,,,
677,2019-05-29 19:54:26,,,,,,,,
678,2019-05-29 20:43:57,,,,,,,,
679,2019-05-29 21:15:20,,,,,,,,
680,2019-05-29 22:15:55,,,,,,,,
681,2019-05-30 00:12:16,,,,,,,,
682,2019-05-30 02:35:08,,,,,,,,
684,2019-05-30 03:31:52,,,,,,,,
685,2019-05-30 04:07:26,,,,,,,,
686,2019-05-30 04:48:47,,,,,,,,
687,2019-05-30 06:59:34,,,,,,,,
688,2019-05-30 07:30:43,,,,,,,,
689,2019-05-30 09:08:56,2019-05-30 08:57:53,,,,,,,
690,2019-05-30 10:08:52,,,,,,,,
691,2019-05-30 11:04:52,2019-05-30 11:00:04,,,,,,,
692,2019-05-30 12:23:16,2019-05-30 12:17:25,,,,,,,
693,2019-05-30 13:08:16,,,,,,,,
694,2019-05-30 14:06:05,,,,,,,,
695,2019-05-30 14:45:29,2019-05-30 14:40:25,,,,,,,
696,2019-05-30 15:53:31,,,,,,,,
697,2019-05-30 16:42:55,,,,,,,,
698,2019-05-30 17:35:37,,,,,,,,
699,2019-05-30 18:26:34,,,,,,,,
700,2019-05-30 19:15:02,,,,,,,,
701,2019-05-30 19:57:43,,,,,,,,
702,2019-05-30 21:08:19,,,,,,,,
703,2019-05-30 21:44:04,,,,,,,,
704,2019-05-30 22:55:09,,,,,,,,
705,2019-05-30 23:26:44,,,,,,,,
706,2019-05-31 00:33:07,,,,,,,,
707,2019-05-31 01:51:43,,,,,,,,
708,2019-05-31 02:51:59,,,,,,,,
709,2019-05-31 04:09:41,,,,,,,,
716,2019-05-31 12:12:10,,,,,,,,
717,2019-05-31 12:32:05,,,,,,,,
718,2019-05-31 13:18:22,,,,,,,,
719,2019-05-31 14:05:53,,,,,,,,
720,2019-05-31 14:39:58,,,,,,,,
721,2019-05-31 15:07:37,,,,,,,,
722,2019-05-31 15:39:44,,,,,,,,
723,2019-05-31 16:19:23,,,,,,,,
724,2019-05-31 17:06:30,,,,,,,,
725,2019-05-31 17:59:30,,,,,,,,
726,2019-05-31 18:42:37,,,,,,,,
727,2019-05-31 19:51:52,,,,,,,,
728,2019-05-31 20:32:18,,,,,,,,
729,2019-05-31 21:10:34,,,,,,,,
730,2019-05-31 21:52:09,,,,,,,,
731,2019-05-31 22:31:26,,,,,,,,
732,2019-05-31 23:06:44,,,,,,,,
733,2019-06-01 00:03:54,,,,,,,,
734,2019-06-01 00:33:15,,,,,,,,
735,2019-06-01 01:53:51,,,,,,,,
736,2019-06-01 02:26:16,,,,,,,,
737,2019-06-01 03:39:51,,,,,,,,
738,2019-06-01 04:12:31,,,,,,,,
739,2019-06-01 04:56:41,,,,,,,,
740,2019-06-01 09:04:14,,,,,,,,
741,2019-06-01 09:45:42,,,,,,,,
742,2019-06-01 10:20:50,,,,,,,,
743,2019-06-01 11:30:08,,,,,,,,
745,2019-06-01 13:04:19,2019-06-01 12:55:03,,,,,,,
746,2019-06-01 14:02:32,2019-06-01 13:54:36,,,,,,,
747,2019-06-01 15:14:57,,,,,,,,
749,2019-06-01 16:51:32,2019-06-01 16:44:10,,,,,,,
750,,2019-06-01 17:23:59,,,,,,,
751,2019-06-01 17:59:45,2019-06-01 17:51:29,,,,,,,
752,2019-06-01 18:52:39,2019-06-01 18:40:04,,,,,,,
753,2019-06-01 19:25:19,2019-06-01 19:21:51,,,,,,,
756,2019-06-01 21:34:35,,,,,,,,
757,2019-06-02 02:50:08,,,,,,,,
758,2019-06-02 04:31:50,,,,,,,,
759,2019-06-02 05:20:24,,,,,,,,
760,2019-06-02 06:06:24,,,,,,,,
761,2019-06-02 06:57:23,,,,,,,,
762,2019-06-02 07:49:28,,,,,,,,
763,2019-06-02 10:19:07,,,,,,,,
764,2019-06-02 10:48:28,,,,,,,,
765,2019-06-02 11:40:14,,,,,,,,
767,2019-06-02 12:44:36,,,,,,,,
768,2019-06-02 13:18:34,,,,,,,,
769,2019-06-02 14:03:15,2019-06-02 13:58:42,,,,,,,
770,2019-06-02 14:45:41,,,,,,,,
771,2019-06-02 15:46:33,,,,,,,,2019-06-02 15:42:11
772,2019-06-02 16:21:24,2019-06-02 16:13:22,,,,,,,
773,2019-06-02 17:12:40,2019-06-02 17:05:53,,,,,,,
774,2019-06-02 18:20:37,2019-06-02 18:12:19,,,,,,,2019-06-02 18:02:35
775,2019-06-02 19:07:40,2019-06-02 18:59:57,,,,,,,2019-06-02 18:51:06
776,2019-06-02 19:42:02,2019-06-02 19:36:14,,,,,,,
777,2019-06-02 20:15:20,2019-06-02 20:00:44,,,,,,,
778,2019-06-02 20:57:35,2019-06-02 20:41:38,,,,,,,2019-06-02 20:35:26
779,2019-06-02 21:39:35,2019-06-02 21:33:28,,,,,,,
780,2019-06-02 21:59:17,2019-06-02 21:52:56,,,,,,,
781,2019-06-02 22:49:03,2019-06-02 22:44:30,,,,,,,
782,2019-06-02 23:41:00,2019-06-02 23:41:00,,,,,,,2019-06-02 23:08:17
783,2019-06-03 00:08:32,2019-06-03 00:01:25,,,,,,,
784,2019-06-03 01:17:28,2019-06-03 01:14:21,,,,,,,
785,2019-06-03 01:40:21,,,,,,,,
786,2019-06-03 02:20:35,,,,,,,,
787,2019-06-03 03:01:21,,,,,,,,
788,2019-06-03 03:29:43,,,,,,,,
789,2019-06-03 04:44:20,,,,,,,,
790,2019-06-03 05:41:21,2019-06-03 05:29:35,,,,,,,
791,2019-06-03 06:46:54,2019-06-03 06:34:07,,,,,,,
792,2019-06-03 08:15:17,2019-06-03 08:01:57,,,,,,,
793,2019-06-03 09:07:13,2019-06-03 09:00:06,,,,,,,
794,2019-06-03 09:58:48,2019-06-03 09:48:03,,,,,,,
795,2019-06-03 11:01:26,2019-06-03 10:49:27,,,,,,,
801,2019-06-03 15:01:57,2019-06-03 14:56:10,,,,,,,
802,2019-06-03 18:35:41,2019-06-03 18:26:35,,,,,,,
803,2019-06-03 19:54:14,2019-06-03 19:52:44,,,,,,,
804,2019-06-03 21:37:24,2019-06-03 21:25:47,,,,,,,
805,2019-06-03 22:21:07,,,,,,,,
806,2019-06-03 23:00:51,,,,,,,,
807,2019-06-04 00:08:48,,,,,,,,
808,2019-06-04 00:50:35,,,,,,,,
809,2019-06-04 01:40:16,,,,,,,,
810,2019-06-04 02:30:19,,,,,,,,
811,2019-06-04 03:26:13,,,,,,,,
812,2019-06-04 04:21:50,,,,,,,,
813,2019-06-04 05:47:34,2019-06-04 05:39:34,,,,,,,
814,2019-06-04 06:23:55,,,,,,,,
815,2019-06-04 08:11:43,,,,,,,,
816,2019-06-04 08:53:59,2019-06-04 08:44:46,,,,,,,
817,2019-06-04 10:08:21,2019-06-04 09:51:02,,,,,,,
818,2019-06-04 10:38:34,,,,,,,,
819,2019-06-04 11:37:47,2019-06-04 11:22:47,,,,,,,
820,2019-06-04 13:00:47,2019-06-04 12:49:13,2019-06-04 12:35:52,,,,,,
821,2019-06-04 13:54:19,,,,,,,,
822,2019-06-04 14:41:30,,,,,,,,
823,2019-06-04 15:15:14,,,,,,,,
824,2019-06-04 16:04:32,2019-06-04 15:58:16,,,,,,,
825,2019-06-04 16:46:43,,,,,,,,
826,2019-06-04 17:53:50,2019-06-04 17:27:52,,,,,,,
827,2019-06-04 18:29:45,2019-06-04 18:23:31,,,,,,,
828,2019-06-04 19:07:17,2019-06-04 19:00:32,,,,,,,
829,2019-06-04 19:53:06,,,,,,,,
830,2019-06-04 21:08:07,,,,,,,,
831,2019-06-04 21:43:19,,,,,,,,
832,2019-06-04 22:16:47,,,,,,,,
833,2019-06-04 23:00:46,,,,,,,,
834,2019-06-04 23:50:12,2019-06-04 23:44:09,,,,,,,
835,2019-06-05 00:33:54,2019-06-05 00:23:50,,,,,,,
836,2019-06-05 00:57:25,,,,,,,,
837,2019-06-05 02:04:47,2019-06-05 02:00:44,,,,,,,
838,2019-06-05 03:15:41,2019-06-05 03:09:49,,,,,,,
839,2019-06-05 03:46:45,,,,,,,,
840,2019-06-05 04:48:35,2019-06-05 04:34:56,,,,,,,
842,2019-06-05 06:46:39,,,,,,,,
843,2019-06-05 07:50:59,,,,,,,,
844,2019-06-05 09:07:47,2019-06-05 08:55:40,,,,,,,
845,2019-06-05 10:29:14,,,,,,,,
846,2019-06-05 11:40:47,,,,,,,,
847,2019-06-05 12:07:26,,,,,,,,
848,2019-06-05 12:59:59,,,,,,,,
849,2019-06-05 15:58:55,,,,,,,,
850,2019-06-05 16:56:05,,,,,,,,
851,2019-06-05 17:44:42,,,,,,,,
852,2019-06-05 18:45:31,,,,,,,,
853,2019-06-05 19:36:50,,,,,,,,
854,2019-06-05 20:51:10,2019-06-05 20:45:13,,,,,,,
855,2019-06-05 22:24:16,,,,,,,,
856,2019-06-05 23:57:38,2019-06-05 23:52:24,,,,,,,
857,2019-06-06 00:47:25,2019-06-06 00:41:12,,,,,,,
858,2019-06-06 01:42:33,,,,,,,,
859,2019-06-06 02:21:51,,,,,,,,
860,2019-06-06 03:03:06,2019-06-06 02:52:34,,,,,,,
861,2019-06-06 03:51:57,,,,,,,,
862,2019-06-06 04:38:36,,,,,,,,
863,2019-06-06 05:14:17,,,,,,,,
864,2019-06-06 06:00:14,,,,,,,,
865,2019-06-06 07:06:31,,,,,,,,
866,2019-06-06 07:32:04,2019-06-06 07:23:02,,,,,,,
867,2019-06-06 08:24:06,2019-06-06 08:21:56,,,,,,,
868,2019-06-06 08:53:41,,,,,,,,
869,2019-06-06 09:53:47,2019-06-06 09:42:08,,,,,,,
870,2019-06-06 10:26:30,2019-06-06 10:14:46,,,,,,,
871,2019-06-06 11:18:10,2019-06-06 11:14:05,,,,,,,
872,2019-06-06 11:27:51,,,,,,,,
873,2019-06-06 12:13:19,2019-06-06 12:06:43,,,,,,,
874,2019-06-06 13:12:03,2019-06-06 13:08:01,,,,,,,
875,2019-06-06 13:32:48,,,,,,,,
876,2019-06-06 14:22:38,2019-06-06 14:16:46,,,,,,,
877,2019-06-06 15:21:02,,,,,,,,
878,2019-06-06 16:33:55,,,,,,,,
879,2019-06-06 16:45:59,,,,,,,,
880,2019-06-06 17:16:01,,,,,,,,
881,2019-06-06 18:13:50,,,,,,,,
882,2019-06-06 18:51:45,,,,,,,,
883,2019-06-06 19:34:20,,,,,,,,
884,2019-06-06 20:02:10,,,,,,,,
885,2019-06-06 20:35:09,,,,,,,,
886,2019-06-06 21:06:36,,,,,,,,
887,2019-06-06 21:43:54,,,,,,,,
888,2019-06-06 22:18:59,,,,,,,,
889,2019-06-06 22:51:37,,,,,,,,
890,2019-06-06 23:43:28,,,,,,,,
891,2019-06-07 00:13:37,,,,,,,,
892,2019-06-07 00:47:10,,,,,,,,
893,2019-06-07 01:27:45,,,,,,,,
894,2019-06-07 02:05:39,,,,,,,,
895,2019-06-07 02:52:53,2019-06-07 02:45:23,,,,,,,
896,2019-06-07 03:48:00,2019-06-07 03:08:49,,,,,,,
897,2019-06-07 04:24:58,,,,,,,,
898,2019-06-07 05:27:08,,,,,,,,
899,2019-06-07 06:26:42,2019-06-07 06:17:30,,,,,,,
900,2019-06-07 07:01:49,2019-06-07 06:54:14,,,,,,,
901,2019-06-07 07:52:44,,,,,,,,
902,2019-06-07 08:14:50,,,,,,,,
903,2019-06-07 08:54:39,,,,,,,,
904,2019-06-07 10:51:55,,,,,,,,
905,2019-06-07 12:04:16,,,,,,,,
906,2019-06-07 12:37:31,,,,,,,,
907,2019-06-07 13:50:38,2019-06-07 13:40:45,,,,,,,
908,2019-06-07 14:45:06,2019-06-07 14:35:05,,,,,,,
909,2019-06-07 15:19:28,,,,,,,,
910,2019-06-07 16:01:52,2019-06-07 15:56:30,,,,,,,
911,2019-06-07 16:48:57,2019-06-07 16:37:52,,,,,,,
912,2019-06-07 17:36:52,,,,,,,,
913,2019-06-07 18:51:43,2019-06-07 18:41:33,,,,,,,
914,2019-06-07 19:44:10,2019-06-07 19:40:33,,,,,,,
915,2019-06-07 20:47:21,2019-06-07 20:39:45,,,,,,,
916,2019-06-07 21:41:45,2019-06-07 21:36:45,,,,,,,
917,2019-06-07 23:18:27,2019-06-07 23:10:56,,,,,,,
918,2019-06-08 00:14:44,2019-06-08 00:04:16,,,,,,,
919,2019-06-08 01:21:34,2019-06-08 01:15:39,,,,,,,
920,2019-06-08 01:58:36,2019-06-08 01:49:01,,,,,,,
921,2019-06-08 02:59:04,,,,,,,,
922,2019-06-08 03:51:22,,,,,,,,
923,2019-06-08 04:26:49,,,,,,,,
924,2019-06-08 05:28:05,,,,,,,,
925,2019-06-08 06:28:42,,,,,,,,
926,2019-06-08 07:12:11,,,,,,,,
927,2019-06-08 07:49:17,,,,,,,,
928,2019-06-08 12:21:44,2019-06-08 12:14:44,,,,,,,
935,2019-06-08 19:55:58,2019-06-08 19:43:52,,,,,,,
936,2019-06-08 20:33:53,,,,,,,,
937,2019-06-08 21:14:24,,,,,,,,
938,2019-06-08 22:10:23,,,,,,,,
939,2019-06-08 23:38:19,,,,,,,,
940,2019-06-09 00:25:20,,,,,,,,
941,2019-06-09 01:45:10,,,,,,,,
942,2019-06-09 02:39:28,,,,,,,,
943,2019-06-09 03:24:18,,,,,,,,
944,2019-06-09 04:00:04,,,,,,,,
945,2019-06-09 04:56:38,,,,,,,,
946,2019-06-09 06:13:50,2019-06-09 06:09:17,,,,,,,
947,2019-06-09 07:02:22,,,,,,,,
948,2019-06-09 08:12:36,2019-06-09 08:03:30,,,,,,,
949,2019-06-09 08:57:26,2019-06-09 08:48:57,,,,,,,
950,2019-06-09 10:02:09,2019-06-09 09:54:01,,,,,,,
951,2019-06-09 10:37:29,2019-06-09 10:33:28,,,,,,,
952,2019-06-09 11:13:27,2019-06-09 11:06:16,,,,,,,2019-06-09 11:01:10
953,2019-06-09 11:56:39,2019-06-09 11:52:57,,,,,,,
954,2019-06-09 13:00:57,2019-06-09 12:52:50,,,,,,,
955,2019-06-09 13:24:10,,,,,,,,
956,2019-06-09 14:27:44,2019-06-09 14:20:08,,,,,,,
957,2019-06-09 15:20:49,2019-06-09 15:09:33,,,,,,,
958,2019-06-09 16:01:40,2019-06-09 15:54:41,,,,,,,
959,2019-06-09 16:32:28,,,,,,,,
960,2019-06-09 19:18:10,2019-06-09 19:13:22,,,,,,,
961,2019-06-09 19:44:28,2019-06-09 19:42:25,,,,,,,2019-06-09 19:36:17
962,2019-06-09 20:09:59,2019-06-09 20:01:36,,,,,,,2019-06-09 19:55:31
963,2019-06-09 20:42:52,2019-06-09 20:36:20,,,,,,,2019-06-09 20:29:31
964,2019-06-09 21:29:46,2019-06-09 21:26:47,,,,,,,
965,2019-06-09 21:55:04,2019-06-09 21:44:18,,,,,,,2019-06-09 21:38:20
966,2019-06-09 22:43:27,2019-06-09 22:39:11,,,,,,,2019-06-09 22:22:10
967,2019-06-09 23:07:23,2019-06-09 22:57:56,,,,,,,2019-06-09 22:50:56
968,2019-06-09 23:27:15,,,,,,,,
969,2019-06-10 00:05:22,2019-06-09 23:58:11,,,,,,,
970,2019-06-10 00:42:40,,,,,,,,
971,2019-06-10 01:29:23,2019-06-10 01:20:50,,,,,,,
972,2019-06-10 02:18:08,2019-06-10 02:06:45,,,,,,,
973,2019-06-10 03:06:24,,,,,,,,
974,2019-06-10 03:41:19,2019-06-10 03:35:55,,,,,,,
975,2019-06-10 04:10:44,2019-06-10 04:01:21,,,,,,,
976,2019-06-10 04:46:03,2019-06-10 04:38:32,,,,,,,
977,2019-06-10 05:17:41,2019-06-10 05:17:41,,,,,,,
978,2019-06-10 06:23:00,2019-06-10 06:13:05,,,,,,,
979,2019-06-10 06:44:52,,,,,,,,
980,2019-06-10 07:37:30,2019-06-10 07:31:05,,,,,,,
981,2019-06-10 08:45:12,,,,,,,,
982,2019-06-10 09:17:35,,,,,,,,
983,2019-06-10 10:05:12,,,,,,,,
984,2019-06-10 11:08:47,,,,,,,,
985,2019-06-10 11:17:47,,,,,,,,
986,2019-06-10 12:30:46,,,,,,,,
987,2019-06-10 14:56:43,2019-06-10 14:47:25,,,,,,,
988,2019-06-10 15:53:05,2019-06-10 15:15:34,2019-06-10 15:07:04,,,,,,
989,2019-06-10 16:48:40,2019-06-10 16:45:12,,,,,,,
990,2019-06-10 17:25:10,,,,,,,,
991,2019-06-10 18:00:53,,,,,,,,
992,2019-06-10 18:29:30,,,,,,,,
993,2019-06-10 19:42:09,,,,,,,,
994,2019-06-10 20:26:38,,,,,,,,
995,2019-06-10 21:14:41,,,,,,,,
996,2019-06-10 22:03:05,,,,,,,,
997,2019-06-10 22:37:17,,,,,,,,
998,2019-06-10 23:25:33,,,,,,,,
999,2019-06-10 23:44:25,,,,,,,,
1000,2019-06-11 01:16:19,2019-06-11 01:11:58,,,,,,,
1001,2019-06-11 02:18:35,,,,,,,,
1002,2019-06-11 02:42:28,,,,,,,,
1003,2019-06-11 03:57:32,2019-06-11 03:44:35,,,,,,,
1004,2019-06-11 04:51:54,,,,,,,,
1005,2019-06-11 05:52:35,,,,,,,,
1006,2019-06-11 07:07:17,2019-06-11 06:58:09,,,,,,,
1007,2019-06-11 08:04:52,,,,,,,,2019-06-11 07:58:12
1008,2019-06-11 08:57:20,,,,,,,,
1009,2019-06-11 09:33:20,,,,,,,,
1010,,,,,,,,,2019-06-11 10:10:21
1011,2019-06-11 11:29:26,,,,,,,,
1012,2019-06-11 12:43:46,,,,,,,,
1013,2019-06-11 14:33:01,,,,,,,,
1014,2019-06-11 15:47:38,,,,,,,,
1015,2019-06-11 16:16:49,,,,,,,,
1016,2019-06-11 16:53:58,,,,,,,,
1017,2019-06-11 17:40:53,,,,,,,,
1018,2019-06-11 18:13:25,,,,,,,,
1019,2019-06-11 18:47:31,2019-06-11 18:40:40,,,,,,,
1020,2019-06-11 19:33:51,2019-06-11 19:30:24,,,,,,,
1021,2019-06-11 20:11:23,2019-06-11 20:06:54,,,,,,,
1022,2019-06-11 21:06:24,,,,,,,,
1023,2019-06-11 22:12:38,2019-06-11 22:00:25,,,,,,,
1024,2019-06-11 22:49:00,,,,,,,,
1025,2019-06-11 23:30:39,,,,,,,,
1026,2019-06-12 00:10:33,,,,,,,,
1027,2019-06-12 01:02:25,,,,,,,,
1028,2019-06-12 02:10:31,,,,,,,,
1029,2019-06-12 04:15:18,,,,,,,,
1030,2019-06-12 05:02:43,,,,,,,,
1031,2019-06-12 06:03:15,,,,,,,,
1032,2019-06-12 06:38:29,,,,,,,,
1033,2019-06-12 07:16:45,,,,,,,,
1034,2019-06-12 08:07:57,,,,,,,,
1035,2019-06-12 08:56:13,,,,,,,,
1036,2019-06-12 09:24:50,,,,,,,,
1037,2019-06-12 10:03:17,,,,,,,,
1038,2019-06-12 10:33:54,,,,,,,,
1039,2019-06-12 11:04:08,,,,,,,,
1040,2019-06-12 11:33:42,,,,,,,,
1041,2019-06-12 12:36:16,2019-06-12 12:29:38,,,,,,,
1042,2019-06-12 13:36:40,2019-06-12 13:33:46,2019-06-12 13:28:13,,,,,,
1043,2019-06-12 14:14:42,2019-06-12 14:08:14,2019-06-12 14:01:36,,,,,,
1044,2019-06-12 14:52:45,2019-06-12 14:45:12,2019-06-12 14:38:14,,,,,,
1045,2019-06-12 16:03:03,,,,,,,,
1046,2019-06-12 16:41:57,,,,,,,,
1047,2019-06-12 17:33:52,,,,,,,,
1048,2019-06-12 19:18:54,2019-06-12 18:53:50,,,,,,,
1049,2019-06-12 19:48:04,2019-06-12 19:34:53,,,,,,,
1050,2019-06-12 20:43:10,,,,,,,,
1051,2019-06-12 21:57:06,,,,,,,,
1052,2019-06-12 22:55:22,,,,,,,,
1053,2019-06-12 23:21:17,,,,,,,,
1054,2019-06-12 23:58:33,,,,,,,,
1055,2019-06-13 00:41:06,,,,,,,,
1056,2019-06-13 01:07:30,,,,,,,,
